,Company,Date,Employees
0,1,2011-01-23,0
1,2,2011-01-23,0
2,3,2011-01-23,0
3,4,2011-01-23,0
4,5,2011-01-23,0
5,6,2011-01-23,0
6,7,2011-01-23,0
7,8,2011-01-23,0
8,9,2011-01-23,0
9,10,2011-01-23,0
10,11,2011-01-23,0
11,12,2011-01-23,0
0,1,2011-01-23,0
1,2,2011-01-23,0
2,3,2011-01-23,0
3,4,2011-01-23,0
4,5,2011-01-23,0
5,6,2011-01-23,0
6,7,2011-01-23,0
7,8,2011-01-23,0
8,9,2011-01-23,0
9,10,2011-01-23,0
10,11,2011-01-23,0
11,12,2011-01-23,0
0,1,2011-01-24,25
1,2,2011-01-24,17
2,3,2011-01-24,9
3,4,2011-01-24,12
4,5,2011-01-24,5
5,6,2011-01-24,3
6,7,2011-01-24,1
7,8,2011-01-24,6
8,9,2011-01-24,3
9,10,2011-01-24,0
10,11,2011-01-24,0
11,12,2011-01-24,0
0,1,2011-01-25,2
1,2,2011-01-25,2
2,3,2011-01-25,1
3,4,2011-01-25,0
4,5,2011-01-25,0
5,6,2011-01-25,0
6,7,2011-01-25,0
7,8,2011-01-25,0
8,9,2011-01-25,0
9,10,2011-01-25,0
10,11,2011-01-25,0
11,12,2011-01-25,0
0,1,2011-01-26,2
1,2,2011-01-26,0
2,3,2011-01-26,2
3,4,2011-01-26,1
4,5,2011-01-26,1
5,6,2011-01-26,0
6,7,2011-01-26,0
7,8,2011-01-26,0
8,9,2011-01-26,0
9,10,2011-01-26,0
10,11,2011-01-26,0
11,12,2011-01-26,0
0,1,2011-01-27,0
1,2,2011-01-27,0
2,3,2011-01-27,0
3,4,2011-01-27,0
4,5,2011-01-27,0
5,6,2011-01-27,0
6,7,2011-01-27,0
7,8,2011-01-27,0
8,9,2011-01-27,0
9,10,2011-01-27,0
10,11,2011-01-27,0
11,12,2011-01-27,0
0,1,2011-01-28,0
1,2,2011-01-28,0
2,3,2011-01-28,0
3,4,2011-01-28,0
4,5,2011-01-28,0
5,6,2011-01-28,0
6,7,2011-01-28,0
7,8,2011-01-28,0
8,9,2011-01-28,0
9,10,2011-01-28,0
10,11,2011-01-28,0
11,12,2011-01-28,0
0,1,2011-01-29,0
1,2,2011-01-29,0
2,3,2011-01-29,0
3,4,2011-01-29,0
4,5,2011-01-29,0
5,6,2011-01-29,0
6,7,2011-01-29,0
7,8,2011-01-29,0
8,9,2011-01-29,0
9,10,2011-01-29,0
10,11,2011-01-29,0
11,12,2011-01-29,0
0,1,2011-01-30,0
1,2,2011-01-30,0
2,3,2011-01-30,0
3,4,2011-01-30,0
4,5,2011-01-30,0
5,6,2011-01-30,0
6,7,2011-01-30,0
7,8,2011-01-30,0
8,9,2011-01-30,0
9,10,2011-01-30,0
10,11,2011-01-30,0
11,12,2011-01-30,0
0,1,2011-01-31,30
1,2,2011-01-31,12
2,3,2011-01-31,7
3,4,2011-01-31,5
4,5,2011-01-31,7
5,6,2011-01-31,7
6,7,2011-01-31,6
7,8,2011-01-31,5
8,9,2011-01-31,3
9,10,2011-01-31,1
10,11,2011-01-31,0
11,12,2011-01-31,0
0,1,2011-02-01,7
1,2,2011-02-01,2
2,3,2011-02-01,1
3,4,2011-02-01,1
4,5,2011-02-01,0
5,6,2011-02-01,1
6,7,2011-02-01,0
7,8,2011-02-01,0
8,9,2011-02-01,1
9,10,2011-02-01,0
10,11,2011-02-01,0
11,12,2011-02-01,0
0,1,2011-02-02,1
1,2,2011-02-02,2
2,3,2011-02-02,0
3,4,2011-02-02,0
4,5,2011-02-02,0
5,6,2011-02-02,0
6,7,2011-02-02,0
7,8,2011-02-02,1
8,9,2011-02-02,0
9,10,2011-02-02,1
10,11,2011-02-02,0
11,12,2011-02-02,0
0,1,2011-02-03,0
1,2,2011-02-03,1
2,3,2011-02-03,0
3,4,2011-02-03,0
4,5,2011-02-03,0
5,6,2011-02-03,0
6,7,2011-02-03,0
7,8,2011-02-03,0
8,9,2011-02-03,0
9,10,2011-02-03,0
10,11,2011-02-03,0
11,12,2011-02-03,0
0,1,2011-02-04,0
1,2,2011-02-04,0
2,3,2011-02-04,0
3,4,2011-02-04,0
4,5,2011-02-04,0
5,6,2011-02-04,0
6,7,2011-02-04,0
7,8,2011-02-04,0
8,9,2011-02-04,0
9,10,2011-02-04,0
10,11,2011-02-04,0
11,12,2011-02-04,0
0,1,2011-02-05,0
1,2,2011-02-05,0
2,3,2011-02-05,0
3,4,2011-02-05,0
4,5,2011-02-05,0
5,6,2011-02-05,0
6,7,2011-02-05,0
7,8,2011-02-05,0
8,9,2011-02-05,0
9,10,2011-02-05,0
10,11,2011-02-05,0
11,12,2011-02-05,0
